Publication Number,User Label,Publication Date,,Strength,Ultimate Parent
US3998800,soy/deflavor,12/21/76,1976,10,The Procter & Gamble Company
US4006266,application/dressing,2/1/77,1977,40,"Pepsico, Inc."
US4011345,application/dressing,3/8/77,1977,30,"Pepsico, Inc."
US4017646,soy/solubilize,4/12/77,1977,10,Nestle Sa
US4018903,soy/solubilize,4/19/77,1977,10,Unilever N.v.
US4018909,Application/Athletic,4/19/77,1977,0,"Pepsico, Inc."
US4025659,application/dressing,5/24/77,1977,10,Nestle Sa
US4029823,Application/Pasta,6/14/77,1977,40,"Pepsico, Inc."
US4031259,soy/solubilize,6/21/77,1977,10,"Mondelez International, Inc."
US4032666,Application/Meat Products,6/28/77,1977,0,"Fuji Oil Co., Ltd."
US4036996,soy/solubilize,7/19/77,1977,10,"Pepsico, Inc."
US4038437,soy/solubilize,7/26/77,1977,10,"Pepsico, Inc."
US4044158,application/dressing,8/23/77,1977,40,"Pepsico, Inc."
US4045590,soy/solubilize,8/30/77,1977,0,The Procter & Gamble Company
US4049840,soy/deflavor,9/20/77,1977,0,"Mondelez International, Inc."
US4055681,,10/25/77,1977,70,"Pepsico, Inc."
US4064119,Soy/Defatting,12/20/77,1977,0,Nestle Sa
US4071635,Application/Meat Products,1/31/78,1978,40,"General Mills, Inc."
US4073948,soy/solubilize,2/14/78,1978,10,"Pepsico, Inc."
US4075195,,2/21/78,1978,10,"Mondelez International, Inc."
US4080477,Application/Dairy Products,3/21/78,1978,30,"Fuji Oil Co., Ltd."
US4091121,soy/deflavor,5/23/78,1978,0,Nestle Sa
US4100024,soy/solubilize,7/11/78,1978,40,Novo Nordisk Fonden
US4105799,soy/solubilize,8/8/78,1978,10,"Pepsico, Inc."
US4113716,soy/solubilize,9/12/78,1978,40,"Ajinomoto Co., Inc."
US4118520,Application/Meat Products,10/3/78,1978,20,Unilever N.v.
US4119734,soy/deflavor,10/10/78,1978,20,"Mondelez International, Inc."
US4132810,application/confection,1/2/79,1979,20,"General Mills, Inc."
US4133901,soy/texture,1/9/79,1979,40,"Pepsico, Inc."
US4141996,soy/solubilize,2/27/79,1979,10,"Pepsico, Inc."
US4143164,Application/Dairy Products,3/6/79,1979,10,"Mondelez International, Inc."
US4147810,,4/3/79,1979,30,"Cargill, Incorporated"
US4153738,Application/Meat Products,5/8/79,1979,20,"Mondelez International, Inc."
US4161550,,7/17/79,1979,10,The Procter & Gamble Company
US4173657,Application/Meat Products,11/6/79,1979,10,Nestle Sa
US4176202,,11/27/79,1979,10,Nestle Sa
US4178394,Application/Athletic,12/11/79,1979,20,"Pepsico, Inc."
US4186218,soy/solubilize,1/29/80,1980,50,"Ajinomoto Co., Inc."
US4205094,soy/deflavor,5/27/80,1980,50,The Procter & Gamble Company
US4208442,application/confection,6/17/80,1980,60,"Mondelez International, Inc."
US4212798,,7/15/80,1980,0,"Ajinomoto Co., Inc."
US4215152,,7/29/80,1980,10,"Mondelez International, Inc."
US4216235,Soy/Defatting,8/5/80,1980,20,Nestle Sa
US4217367,,8/12/80,1980,0,Nestle Sa
US4234609,Application/Meat Products,11/18/80,1980,10,Nestle Sa
US4235935,Application/Athletic,11/25/80,1980,20,"Pepsico, Inc."
