Publication Number,User Label,Publication Date,,Strength,Ultimate Parent
JPS5829057,soy/solubilize,6/20/83,1983,40,Nestle Sa
JPS5836367,,3/3/83,1983,0,"Ajinomoto Co., Inc."
JPS5839505,Application/Meat Products,8/30/83,1983,40,Unilever N.v.
JPS5878564,,5/12/83,1983,10,Yamasa Corporation
JPS5889155,soy/deflavor,5/27/83,1983,0,"Ajinomoto Co., Inc."
JPS58101658,,6/16/83,1983,0,"Ajinomoto Co., Inc."
JPS58111655,soy/deflavor,7/2/83,1983,0,"Fuji Oil Co., Ltd."
JPS58116655,application/soy sauce,7/11/83,1983,0,Kikkoman Corporation
JPS58126753,application/soy sauce,7/28/83,1983,0,Yamasa Corporation
JPS58138356,application/soy sauce,8/17/83,1983,0,Kikkoman Corporation
JPS58141761,soy/deflavor,8/23/83,1983,0,Yamasa Corporation
JPS58170450,,10/7/83,1983,0,"Ajinomoto Co., Inc."
JPS591459,application/pasta,1/12/84,1984,40,"Ajinomoto Co., Inc."
JPS597425,,2/18/84,1984,0,"Ajinomoto Co., Inc."
JPS5910778,soy/deflavor,3/12/84,1984,20,"Fuji Oil Co., Ltd."
JPS5911145,soy/deflavor,1/20/84,1984,0,"Fuji Oil Co., Ltd."
JPS5911146,soy/deflavor,1/20/84,1984,0,"Fuji Oil Co., Ltd."
JPS5928440,,2/15/84,1984,0,"Fuji Oil Co., Ltd."
JPS5928450,application/soy sauce,2/15/84,1984,0,Kikkoman Corporation
JPS5940414,soy/deflavor,9/29/84,1984,40,Nestle Sa
JPS5945852,application/soy sauce,3/14/84,1984,0,Kikkoman Corporation
JPS5945853,application/soy sauce,3/14/84,1984,0,Kikkoman Corporation
JPS5951757,application/soy sauce,3/26/84,1984,0,Kikkoman Corporation
JPS5955165,application/soy sauce,3/30/84,1984,0,Kikkoman Corporation
JPS5974970,application/soy sauce,4/27/84,1984,10,Kikkoman Corporation
JPS5982046,application/soy sauce,5/11/84,1984,0,"Ajinomoto Co., Inc."
JPS59125865,,7/20/84,1984,0,Kikkoman Corporation
JPS59227270,application/soy sauce,12/20/84,1984,0,"Ajinomoto Co., Inc."
JPS60965,application/pasta,1/11/85,1985,40,"Ajinomoto Co., Inc."
JPS601853,application/soy sauce,1/17/85,1985,10,Kikkoman Corporation
JPS604708,application/soy sauce,2/6/85,1985,10,Kikkoman Corporation
JPS605267,application/soy sauce,2/9/85,1985,20,Kikkoman Corporation
JPS606180,application/soy sauce,2/16/85,1985,10,"Ajinomoto Co., Inc."
JPS606181,,2/16/85,1985,10,Yamasa Corporation
JPS606182,application/soy sauce,2/16/85,1985,10,Kikkoman Corporation
JPS606183,soy/deflavor,2/16/85,1985,10,Yamasa Corporation
JPS606184,application/soy sauce,2/16/85,1985,10,Kikkoman Corporation
JPS606618,soy/deflavor,2/19/85,1985,20,Kikkoman Corporation
JPS609447,Application/Meat Products,1/18/85,1985,0,Novo Nordisk Fonden
JPS6019458,,1/31/85,1985,0,"Ajinomoto Co., Inc."
JPS6019477,application/soy sauce,1/31/85,1985,0,Kikkoman Corporation
JPS6020976,application/soy sauce,5/24/85,1985,10,Kikkoman Corporation
JPS6022897,application/soy sauce,6/4/85,1985,10,Kikkoman Corporation
JPS6062956,,4/11/85,1985,0,"Ajinomoto Co., Inc."
JPS6075253,application/soy sauce,4/27/85,1985,0,Kikkoman Corporation
JPS6075254,application/soy sauce,4/27/85,1985,0,Yamasa Corporation
JPS6078558,application/soy sauce,5/4/85,1985,0,"Ajinomoto Co., Inc."
JPS6087765,,5/17/85,1985,0,Kikkoman Corporation
JPS6098961,application/soy sauce,6/1/85,1985,0,Yamasa Corporation
JPS60105470,,6/10/85,1985,0,Yamasa Corporation
JPS60118151,application/pasta,6/25/85,1985,0,"Ajinomoto Co., Inc."
JPS60156358,application/soy sauce,8/16/85,1985,10,Kikkoman Corporation
JPS60237951,soy/deflavor,11/26/85,1985,0,"Ajinomoto Co., Inc."
JPS6116558,,5/1/86,1986,20,Kikkoman Corporation
JPS6128364,application/soy sauce,2/8/86,1986,0,Kikkoman Corporation
JPS6137074,soy/deflavor,2/21/86,1986,0,Kikkoman Corporation
JPS6144459,,10/2/86,1986,20,Kikkoman Corporation
JPS6152262,application/soy sauce,3/14/86,1986,0,Kikkoman Corporation
JPS6152661,soy/deflavor,11/14/86,1986,10,"Fuji Oil Co., Ltd."
JPS6167459,application/soy sauce,4/7/86,1986,0,Kikkoman Corporation
JPS6178357,application/soy sauce,4/21/86,1986,0,Kikkoman Corporation
JPS6185165,soy/deflavor,4/30/86,1986,10,Kikkoman Corporation
JPS61104763,soy/deflavor,5/23/86,1986,0,Kikkoman Corporation
JPS61132154,soy/deflavor,6/19/86,1986,0,Kikkoman Corporation
JPS61152249,application/soy sauce,7/10/86,1986,0,Kikkoman Corporation
JPS61195668,application/soy sauce,8/29/86,1986,0,Kikkoman Corporation
JPS61199760,soy/deflavor,9/4/86,1986,0,Kikkoman Corporation
JPS61199761,application/soy sauce,9/4/86,1986,0,Kikkoman Corporation
JPS61216646,Application/Meat Products,9/26/86,1986,0,Novo Nordisk Fonden
JPS61231965,,10/16/86,1986,0,Kikkoman Corporation
JPS61247344,soy/deflavor,11/4/86,1986,0,Kikkoman Corporation
JPS61271964,Application/Meat Products,12/2/86,1986,0,Kikkoman Corporation
JPS623743,,1/9/87,1987,0,"Fuji Oil Co., Ltd."
JPS6225025,application/soy sauce,6/1/87,1987,30,Kikkoman Corporation
JPS6228655,,6/22/87,1987,40,Nestle Sa
JPS6229949,application/soy sauce,2/7/87,1987,0,Kikkoman Corporation
JPS6232855,,2/12/87,1987,0,"Ajinomoto Co., Inc."
JPS6232856,,2/12/87,1987,0,"Ajinomoto Co., Inc."
JPS6239978,application/soy sauce,8/26/87,1987,30,Kikkoman Corporation
JPS6257297,,11/30/87,1987,50,Kikkoman Corporation
JPS6257298,application/soy sauce,11/30/87,1987,20,Kikkoman Corporation
JPS6262141,application/soy sauce,12/24/87,1987,20,Kikkoman Corporation
JPS6262142,soy/deflavor,12/24/87,1987,20,Kikkoman Corporation
JPS6283862,soy/solubilize,4/17/87,1987,0,"Fuji Oil Co., Ltd."
JPS62104565,application/soy sauce,5/15/87,1987,0,Kikkoman Corporation
JPS62111657,application/soy sauce,5/22/87,1987,0,Kikkoman Corporation
JPS62126962,application/pasta,6/9/87,1987,0,"Ajinomoto Co., Inc."
JPS62181755,application/soy sauce,8/10/87,1987,0,Kikkoman Corporation
JPS62253362,application/soy sauce,11/5/87,1987,0,Kikkoman Corporation
JPS62289166,application/pasta,12/16/87,1987,0,"Ajinomoto Co., Inc."
JPS6331,application/soy sauce,1/5/88,1988,30,Kikkoman Corporation
JPS633574,application/soy sauce,1/25/88,1988,20,Kikkoman Corporation
JPS633774,application/soy sauce,1/8/88,1988,0,Kikkoman Corporation
JPS633775,application/soy sauce,1/8/88,1988,0,Kikkoman Corporation
JPS6316113,,4/7/88,1988,20,"Ajinomoto Co., Inc."
JPS6324662,application/soy sauce,5/21/88,1988,20,Kikkoman Corporation
JPS6324663,application/soy sauce,5/21/88,1988,20,Kikkoman Corporation
JPS6331180,,6/22/88,1988,20,Kikkoman Corporation
JPS6336736,,7/21/88,1988,20,"Ajinomoto Co., Inc."
JPS6343076,application/pasta,8/26/88,1988,30,"Ajinomoto Co., Inc."
JPS6356791,soy/deflavor,11/9/88,1988,30,Kikkoman Corporation
JPS6356792,application/soy sauce,11/9/88,1988,30,Kikkoman Corporation
JPS6391053,,4/21/88,1988,0,"Ajinomoto Co., Inc."
JPS63129972,application/soy sauce,6/2/88,1988,0,Kikkoman Corporation
JPS63188367,,8/3/88,1988,0,"Fuji Oil Co., Ltd."
JPS63188368,Application/Meat Products,8/3/88,1988,0,Kikkoman Corporation
JPS63216448,application/soy sauce,9/8/88,1988,0,Kikkoman Corporation
JPS63216449,application/soy sauce,9/8/88,1988,0,Kikkoman Corporation
JPS63216450,application/soy sauce,9/8/88,1988,0,Kikkoman Corporation
JPS63226258,application/soy sauce,9/20/88,1988,0,Kikkoman Corporation
JPS63237757,application/soy sauce,10/4/88,1988,0,Kikkoman Corporation
JPS63237758,application/soy sauce,10/4/88,1988,0,Kikkoman Corporation
JPS63240748,soy/solubilize,10/6/88,1988,0,"Fuji Oil Co., Ltd."
JPS63267254,application/soy sauce,11/4/88,1988,0,"Ajinomoto Co., Inc."
JPS63301771,application/soy sauce,12/8/88,1988,0,Kikkoman Corporation
JPS63313560,application/soy sauce,12/21/88,1988,0,Kikkoman Corporation
JPS63313574,application/pasta,12/21/88,1988,0,"Ajinomoto Co., Inc."
JPS6420,application/soy sauce,1/5/89,1989,30,Kikkoman Corporation
JPS6421,application/soy sauce,1/5/89,1989,20,Kikkoman Corporation
JP2000004822,soy/deflavor,1/11/00,2000,0,"Fuji Oil Co., Ltd."
JP2000041613,,2/15/00,2000,0,"Ajinomoto Co., Inc."
JP2000041620,application/soy sauce,2/15/00,2000,0,"Ajinomoto Co., Inc."
JP2000083572,soy/deflavor,3/28/00,2000,0,"Fuji Oil Co., Ltd."
JP2000125806,application/soy sauce,5/9/00,2000,0,Kikkoman Corporation
JP2000157198,,6/13/00,2000,0,Kikkoman Corporation
JP2000157201,application/soy sauce,6/13/00,2000,0,Kikkoman Corporation
JP2000189112,,7/11/00,2000,0,"Fuji Oil Co., Ltd."
JP2000197461,,7/18/00,2000,0,Kikkoman Corporation
JP2000197465,application/soy sauce,7/18/00,2000,0,Kikkoman Corporation
JP2000253848,application/soy sauce,9/19/00,2000,0,Kikkoman Corporation
JP2000253849,application/soy sauce,9/19/00,2000,0,"Ajinomoto Co., Inc."
JP2000262228,application/soy sauce,9/26/00,2000,0,Kikkoman Corporation
JP2000279125,application/soy sauce,10/10/00,2000,0,Kikkoman Corporation
JP2000279140,soy/deflavor,10/10/00,2000,10,"Fuji Oil Co., Ltd."
JP2000287641,,10/17/00,2000,0,"Ajinomoto Co., Inc."
JP2000300185,soy/solubilize,10/31/00,2000,10,"Fuji Oil Co., Ltd."
JP2000325039,,11/28/00,2000,0,Kikkoman Corporation
JP2000333638,application/soy sauce,12/5/00,2000,0,Kikkoman Corporation
JP2001000106,application/soy sauce,1/9/01,2001,0,Kikkoman Corporation
JP2001037441,application/soy sauce,2/13/01,2001,0,Kikkoman Corporation
JP2001054373,application/soy sauce,2/27/01,2001,0,Kikkoman Corporation
JP2001061437,application/soy sauce,3/13/01,2001,0,Kikkoman Corporation
JP2001069942,application/soy sauce,3/21/01,2001,0,Yamasa Corporation
JP2001078700,application/soy sauce,3/27/01,2001,0,Yamasa Corporation
JP2001145470,,5/29/01,2001,0,Kikkoman Corporation
JP2001231484,application/soy sauce,8/28/01,2001,0,Yamasa Corporation
JP2001231490,application/soy sauce,8/28/01,2001,0,Kikkoman Corporation
JP2001238633,,9/4/01,2001,0,Kikkoman Corporation
JP2001346546,,12/18/01,2001,0,Kikkoman Corporation
JP2002017290,,1/22/02,2002,0,"Ajinomoto Co., Inc."
JP2002027944,application/soy sauce,1/29/02,2002,0,Yamasa Corporation
JP2002034496,soy/deflavor,2/5/02,2002,0,Kikkoman Corporation
JP2002101848,application/soy sauce,4/9/02,2002,0,Kikkoman Corporation
JP2002114694,,4/16/02,2002,20,"Fuji Oil Co., Ltd."
JP2002142715,application/soy sauce,5/21/02,2002,20,"Ajinomoto Co., Inc."
JP2002155018,application/soy sauce,5/28/02,2002,0,Yamasa Corporation
JP2002159278,application/soy sauce,6/4/02,2002,0,Kikkoman Corporation
JP2002165577,application/soy sauce,6/11/02,2002,30,Yamasa Corporation
JP2002191291,soy/deflavor,7/9/02,2002,10,"Fuji Oil Co., Ltd."
JP2002191321,application/soy sauce,7/9/02,2002,0,"Ajinomoto Co., Inc."
JP2002199842,Application/Dairy Products,7/16/02,2002,0,"Mondelez International, Inc."
JP2002209549,application/soy sauce,7/30/02,2002,0,Kikkoman Corporation
JP2002281934,application/soy sauce,10/2/02,2002,0,Yamasa Corporation
JP2002306159,application/soy sauce,10/22/02,2002,0,Yamasa Corporation
JP2003018964,soy/deflavor,1/21/03,2003,10,"Fuji Oil Co., Ltd."
JP2003061608,,3/4/03,2003,0,Kikkoman Corporation
JP2003079363,application/soy sauce,3/18/03,2003,0,Kikkoman Corporation
JP2003088325,application/soy sauce,3/25/03,2003,0,Kikkoman Corporation
JP2003093092,application/soy sauce,4/2/03,2003,0,Kikkoman Corporation
JP2003135021,application/soy sauce,5/13/03,2003,0,Kikkoman Corporation
JP2003144083,application/soy sauce,5/20/03,2003,0,Yamasa Corporation
JP2003153699,application/soy sauce,5/27/03,2003,0,Kikkoman Corporation
JP2003230370,application/soy sauce,8/19/03,2003,0,Yamasa Corporation
JP2003245053,application/soy sauce,9/2/03,2003,0,Kikkoman Corporation
JP2003252788,application/pasta,9/10/03,2003,0,"Fuji Oil Co., Ltd."
JP2003289826,application/soy sauce,10/14/03,2003,0,"Ajinomoto Co., Inc."
JP2003333997,soy/deflavor,11/25/03,2003,10,"Fuji Oil Co., Ltd."
JP2003334021,application/soy sauce,11/25/03,2003,0,"Ajinomoto Co., Inc."
JP2004008026,application/soy sauce,1/15/04,2004,0,Kikkoman Corporation
JP2004024248,application/soy sauce,1/29/04,2004,0,Yamasa Corporation
JP2004041041,,2/12/04,2004,0,"Fuji Oil Co., Ltd."
JP2004049104,application/soy sauce,2/19/04,2004,10,Yamasa Corporation
JP2004065162,application/soy sauce,3/4/04,2004,0,Kikkoman Corporation
JP2004105066,application/soy sauce,4/8/04,2004,0,Kikkoman Corporation
JP2004105094,application/soy sauce,4/8/04,2004,0,Kikkoman Corporation
JP2004113098,application/soy sauce,4/15/04,2004,0,Kikkoman Corporation
JP2004141014,application/soy sauce,5/20/04,2004,0,Yamasa Corporation
JP2004187561,,7/8/04,2004,10,"Ajinomoto Co., Inc."
JP2004229623,application/soy sauce,8/19/04,2004,0,Kikkoman Corporation
JP2004254631,soy/deflavor,9/16/04,2004,0,"Fuji Oil Co., Ltd."
JP2004283017,application/soy sauce,10/14/04,2004,0,"Ajinomoto Co., Inc."
JP2004290129,,10/21/04,2004,60,Kikkoman Corporation
JP2004512848,soy/deflavor,4/30/04,2004,0,"Cargill, Incorporated"
JP2004518440,application/pasta,6/24/04,2004,10,E.i. Du Pont De Nemours & Company
JP2005006649,application/soy sauce,1/13/05,2005,0,Kikkoman Corporation
JP2005021070,soy/deflavor,1/27/05,2005,0,"Ajinomoto Co., Inc."
JP2005052138,application/soy sauce,3/3/05,2005,0,Yamasa Corporation
JP2005080665,Application/Meat Products,3/31/05,2005,0,"Mondelez International, Inc."
JP2005168414,,6/30/05,2005,0,Kikkoman Corporation
JP2005213233,application/pasta,8/11/05,2005,0,"Fuji Oil Co., Ltd."
JP2005245433,application/soy sauce,9/15/05,2005,0,Yamasa Corporation
JP2005304409,soy/deflavor,11/4/05,2005,0,Yamasa Corporation
JP2005304493,,11/4/05,2005,20,"Ajinomoto Co., Inc."
JP2005312316,application/soy sauce,11/10/05,2005,0,Kikkoman Corporation
JP2005341829,,12/15/05,2005,0,Kikkoman Corporation
JP2005500331,Soy/Defatting,1/6/05,2005,10,E.i. Du Pont De Nemours & Company
JP2006006140,soy/deflavor,1/12/06,2006,0,Kikkoman Corporation
JP2006042806,application/soy sauce,2/16/06,2006,0,"Ajinomoto Co., Inc."
JP2006087328,application/soy sauce,4/6/06,2006,10,Kikkoman Corporation
JP2006141231,soy/solubilize,6/8/06,2006,0,"Fuji Oil Co., Ltd."
JP2006149376,application/soy sauce,6/15/06,2006,0,Yamasa Corporation
JP2006158213,application/soy sauce,6/22/06,2006,0,Kikkoman Corporation
JP2006158316,application/soy sauce,6/22/06,2006,0,Kikkoman Corporation
JP2006204119,application/soy sauce,8/10/06,2006,0,Kikkoman Corporation
JP2006212023,application/soy sauce,8/17/06,2006,0,Kikkoman Corporation
MXPA00003979,Soy/Defatting,3/8/02,2002,0,"Protein Polymer Technologies, Inc."
MXPA00008258,Application/Dairy Products,8/20/02,2002,10,"Protein Polymer Technologies, Inc."
MXPA01003588,Application/Meat Products,9/18/02,2002,0,Monsanto Company
MXPA01003687,,9/10/04,2004,10,"Mondelez International, Inc."
MXPA01009884,Application/Dairy Products,8/12/04,2004,10,"Mondelez International, Inc."
MXPA02003125,Application/Dairy Products,11/7/02,2002,0,Archer Daniels Midland Company
MXPA02003269,Application/Dairy Products,11/7/02,2002,0,Archer Daniels Midland Company
MXPA02004813,,8/30/02,2002,0,Unilever N.v.
MXPA03007342,Application/Meat Products,4/19/05,2005,0,E.i. Du Pont De Nemours & Company
MXPA03009108,soy/solubilize,2/12/04,2004,0,E.i. Du Pont De Nemours & Company
MXPA03011105,soy/solubilize,12/7/04,2004,0,Unilever N.v.
MXPA04002670,soy/solubilize,6/14/05,2005,0,E.i. Du Pont De Nemours & Company
MXPA04002705,Soy/Defatting,6/17/05,2005,0,"Protein Polymer Technologies, Inc."
MXPA04004958,application/confection,9/8/05,2005,0,E.i. Du Pont De Nemours & Company
MXPA04008520,,5/27/05,2005,0,"Mondelez International, Inc."
MXPA04008521,Soy/Defatting,11/17/05,2005,0,"Mondelez International, Inc."
MXPA04008522,Application/Meat Products,9/8/05,2005,0,"Mondelez International, Inc."
MXPA04008759,soy/solubilize,6/8/05,2005,0,E.i. Du Pont De Nemours & Company
MXPA04010738,Application/Meat Products,8/19/05,2005,0,"Mondelez International, Inc."
MXPA04010739,Application/Meat Products,8/19/05,2005,0,"Mondelez International, Inc."
MXPA04011022,soy/solubilize,7/14/05,2005,0,E.i. Du Pont De Nemours & Company
MXPA06001279,Application/Dairy Products,4/11/06,2006,0,Unilever N.v.
MY6181,,12/31/81,1981,0,Nestle Sa
MY7782,,12/31/82,1982,0,Nestle Sa
MY23179,soy/deflavor,12/31/79,1979,0,Nestle Sa
NZ235013,soy/deflavor,6/25/91,1991,0,Nestle Sa
NZ249395,soy/solubilize,11/27/95,1995,0,Abbott Laboratories
NZ331481,application/infant,2/28/00,2000,20,Abbott Laboratories
NZ331691,Application/Meat Products,10/28/99,1999,10,E.i. Du Pont De Nemours & Company
NZ334461,,8/25/00,2000,10,Nestle Sa
NZ506791,Application/Dairy Products,9/26/03,2003,20,Nestle Sa
NZ509563,application/pasta,11/26/02,2002,0,"Protein Polymer Technologies, Inc."
NZ510203,,10/25/02,2002,0,"Protein Polymer Technologies, Inc."
NZ515052,Application/Meat Products,3/28/03,2003,10,Mars Inc
NZ517773,Application/Dairy Products,10/31/03,2003,10,Archer Daniels Midland Company
NZ518364,Application/Dairy Products,7/25/03,2003,10,Archer Daniels Midland Company
NZ518424,,10/31/03,2003,10,Unilever N.v.
NZ526270,Soy/Defatting,11/26/04,2004,10,Koninklijke Dsm Nv
NZ527459,Application/Meat Products,3/24/05,2005,10,E.i. Du Pont De Nemours & Company
NZ532179,soy/solubilize,12/23/05,2005,0,E.i. Du Pont De Nemours & Company
NZ536145,Application/Meat Products,3/31/06,2006,0,"Mondelez International, Inc."
PH13057,soy/solubilize,11/21/79,1979,10,Nestle Sa
PH14192,soy/deflavor,3/26/81,1981,0,Nestle Sa
PH14331,Soy/Defatting,5/29/81,1981,10,Nestle Sa
PH31299,Application/Meat Products,7/6/98,1998,20,Abbott Laboratories
PL367584,application/pasta,6/13/05,2005,0,E.i. Du Pont De Nemours & Company
SU585798,Soy/Defatting,12/25/77,1977,10,Nestle Sa
TR9701400,,6/22/98,1998,0,Unilever N.v.
TR9903184,,8/21/00,2000,0,Unilever N.v.
TR200000854,,7/21/00,2000,10,"Ajinomoto Co., Inc."
TW486368,Soy/Defatting,5/11/02,2002,10,"Protein Polymer Technologies, Inc."
TW492867,application/infant,7/1/02,2002,50,Abbott Laboratories
US2785155,soy/solubilize,3/12/57,1957,10,Unilever N.v.
US3594192,soy/solubilize,7/20/71,1971,30,"General Mills, Inc."
US3607860,soy/solubilize,9/21/71,1971,30,"Fuji Oil Co., Ltd."
US3627537,soy/deflavor,12/14/71,1971,0,"General Mills, Inc."
US3630753,soy/solubilize,12/28/71,1971,20,Nestle Sa
US3642490,soy/solubilize,2/15/72,1972,60,Nestle Sa
US3642492,Application/Meat Products,2/15/72,1972,40,Nestle Sa
US3642493,Application/Meat Products,2/15/72,1972,40,Nestle Sa
US3664848,soy/deflavor,5/23/72,1972,0,The Procter & Gamble Company
US3733207,soy/solubilize,5/15/73,1973,20,Nestle Sa
US3753728,,8/21/73,1973,50,The Procter & Gamble Company
US3770463,soy/deflavor,11/6/73,1973,10,"Mondelez International, Inc."
US3803329,soy/solubilize,4/9/74,1974,10,"General Mills, Inc."
US3852503,soy/solubilize,12/3/74,1974,10,Nestle Sa
US3853839,soy/solubilize,12/10/74,1974,30,Nestle Sa
US3857970,Application/Dairy Products,12/31/74,1974,20,"Fuji Oil Co., Ltd."
US3870801,Application/Meat Products,3/11/75,1975,30,Unilever N.v.
US3885052,soy/deflavor,5/20/75,1975,20,Nestle Sa
US3920852,soy/deflavor,11/18/75,1975,10,"Mondelez International, Inc."
WO02056707,application/infant,7/25/02,2002,0,Nestle Sa
WO03022070,,3/20/03,2003,10,The Procter & Gamble Company
WO03022072,soy/deflavor,3/20/03,2003,0,"General Mills, Inc."
WO03034840,Soy/Defatting,5/1/03,2003,0,Nestle Sa
WO03055329,,12/29/04,2004,0,Archer Daniels Midland Company
ZA7600339,soy/solubilize,1/26/77,1977,0,Archer Daniels Midland Company
ZA7601486,soy/solubilize,3/30/77,1977,0,Nestle Sa
ZA7705741,Soy/Defatting,8/30/78,1978,0,Nestle Sa
ZA9702978,Application/Meat Products,10/23/98,1998,0,E.i. Du Pont De Nemours & Company
ZA200100536,,7/18/01,2001,0,"Protein Polymer Technologies, Inc."
ZA200306156,Application/Meat Products,6/1/04,2004,0,E.i. Du Pont De Nemours & Company
ZA200307700,,6/4/04,2004,0,E.i. Du Pont De Nemours & Company
ZA200402705,,12/8/04,2004,0,E.i. Du Pont De Nemours & Company
ZA200406944,Soy/Defatting,3/3/05,2005,0,"Mondelez International, Inc."
ZA200407218,,2/22/06,2006,0,E.i. Du Pont De Nemours & Company
ZA200408857,Soy/Defatting,10/5/05,2005,0,E.i. Du Pont De Nemours & Company
CA2358320,Application/Dairy Products,12/12/06,2006,10,"Mondelez International, Inc."
JP2006311850,application/soy sauce,11/16/06,2006,10,Yamasa Corporation
JP2006311851,application/soy sauce,11/16/06,2006,0,Yamasa Corporation
EP1551235,application/confection,1/3/07,2007,30,Mars Inc
EP1565068,Application/Meat Products,1/3/07,2007,20,Mars Inc
CN1292068,application/infant,12/27/06,2006,40,Nestle Sa
CN1909801,application/soy sauce,2/7/07,2007,0,"Ajinomoto Co., Inc."
SK285479,Application/Dairy Products,2/1/07,2007,30,Unilever N.v.
AU2005265311,Application/Meat Products,1/26/06,2006,0,Monsanto Company
CN1911064,soy/solubilize,2/14/07,2007,10,"Protein Polymer Technologies, Inc."
CN1913788,Application/Dairy Products,2/14/07,2007,10,Unilever N.v.
EP1656039,application/infant,2/21/07,2007,10,Abbott Laboratories
CN1917780,,2/21/07,2007,10,Unilever N.v.
EG23607,Soy/Defatting,11/6/06,2006,10,"Mondelez International, Inc."
EP1527696,,2/28/07,2007,30,"Mondelez International, Inc."
EP1758462,Application/Meat Products,3/7/07,2007,0,E.i. Du Pont De Nemours & Company
CA2572761,Application/Meat Products,1/26/06,2006,0,Monsanto Company
JP2007501603,soy/deflavor,2/1/07,2007,10,Unilever N.v.
EP1357807,soy/deflavor,3/14/07,2007,30,Unilever N.v.
EP1446019,soy/deflavor,3/14/07,2007,20,Unilever N.v.
EP1662902,,3/14/07,2007,20,Unilever N.v.
EP1765092,Application/Meat Products,3/28/07,2007,0,Monsanto Company
KR20070001950,Application/Meat Products,1/4/07,2007,0,Unilever N.v.
JP2007306861,application/soy sauce,11/29/07,2007,0,Kikkoman Corporation
EP1769688,,1/9/08,2008,20,Unilever N.v.
JP2007319129,application/soy sauce,12/13/07,2007,0,Kikkoman Corporation
EP1694141,soy/solubilize,1/16/08,2008,20,Unilever N.v.
CN100364427,soy/deflavor,1/30/08,2008,10,"Fuji Oil Co., Ltd."
CN101098628,Application/Weight Control,1/2/08,2008,20,Monsanto Company
CN101098629,Application/Weight Control,1/2/08,2008,20,Monsanto Company
CN100366180,soy/solubilize,2/6/08,2008,20,E.i. Du Pont De Nemours & Company
CN101123885,application/dressing,2/13/08,2008,20,E.i. Du Pont De Nemours & Company
CN101123887,Application/Weight Control,2/13/08,2008,30,Monsanto Company
JP4034827,,1/16/08,2008,50,E.i. Du Pont De Nemours & Company
EP1142485,soy/solubilize,2/27/08,2008,70,Novo Nordisk Fonden
WO2008036836,Application/Meat Products,3/27/08,2008,10,E.i. Du Pont De Nemours & Company
WO2008036906,Application/Meat Products,3/27/08,2008,60,E.i. Du Pont De Nemours & Company
WO2008043058,soy/deflavor,4/10/08,2008,10,Archer Daniels Midland Company
CA2615646,application/pasta,2/22/07,2007,0,E.i. Du Pont De Nemours & Company
CA2615854,,1/25/07,2007,0,E.i. Du Pont De Nemours & Company
US7357955,application/dairy products,4/15/08,2008,40,E.i. Du Pont De Nemours & Company
US7378122,application/dressing,5/27/08,2008,60,"Pepsico, Inc."
US7387809,Application/Meat Products,6/17/08,2008,20,"General Mills, Inc."
US7396555,soy/deflavor,7/8/08,2008,70,"Pepsico, Inc."
US7399495,,7/15/08,2008,30,E.i. Du Pont De Nemours & Company
US20080069926,Application/Meat Products,3/20/08,2008,40,E.i. Du Pont De Nemours & Company
US20080069927,Application/Meat Products,3/20/08,2008,40,E.i. Du Pont De Nemours & Company
US20080075808,Application/Meat Products,3/27/08,2008,70,E.i. Du Pont De Nemours & Company
US20080095897,Application/Meat Products,4/24/08,2008,30,Koninklijke Dsm Nv
US20080095906,application/weight control,4/24/08,2008,20,"Mondelez International, Inc."
US20080098900,application/dressing,5/1/08,2008,20,"Pepsico, Inc."
US20080102168,,5/1/08,2008,10,Archer Daniels Midland Company
US20080102180,Application/Dairy Products,5/1/08,2008,20,E.i. Du Pont De Nemours & Company
US20080107783,soy/deflavor,5/8/08,2008,30,Archer Daniels Midland Company
US20080113064,,5/15/08,2008,20,Archer Daniels Midland Company
US20080118607,Application/Meat Products,5/22/08,2008,60,E.i. Du Pont De Nemours & Company
US20080118610,Application/Athletic,5/22/08,2008,10,Unilever N.v.
US20080138480,soy/deflavor,6/12/08,2008,60,"Pepsico, Inc."
US20080145511,soy/deflavor,6/19/08,2008,10,E.i. Du Pont De Nemours & Company
US20080152762,Application/Dairy Products,6/26/08,2008,0,Unilever N.v.
US20080166456,soy/texture,7/10/08,2008,10,"Mondelez International, Inc."
AU2005284837,soy/solubilize,3/23/06,2006,0,"Mondelez International, Inc."
JP2007049917,application/soy sauce,3/1/07,2007,0,Kikkoman Corporation
UA75330,Application/Meat Products,3/15/04,2004,10,"Mondelez International, Inc."
JP3904187,application/soy sauce,4/11/07,2007,30,Kikkoman Corporation
AU2005294310,soy/solubilize,4/20/06,2006,0,E.i. Du Pont De Nemours & Company
CA2579632,soy/solubilize,3/23/06,2006,0,"Mondelez International, Inc."
CN1943409,application/pasta,4/11/07,2007,10,Unilever N.v.
CN1946302,Application/Meat Products,4/11/07,2007,10,Unilever N.v.
CN1946305,application/dairy products,4/11/07,2007,20,E.i. Du Pont De Nemours & Company
CA2582238,soy/solubilize,4/20/06,2006,0,E.i. Du Pont De Nemours & Company
NZ545635,Application/Dairy Products,5/31/07,2007,0,"Mondelez International, Inc."
CN1976596,soy/texture,6/6/07,2007,20,E.i. Du Pont De Nemours & Company
KR20070040387,,4/16/07,2007,0,Monsanto Company
AU2005316310,,6/22/06,2006,0,E.i. Du Pont De Nemours & Company
JP3938488,application/soy sauce,6/27/07,2007,30,Kikkoman Corporation
